"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"ABX00012","Arduino","1050-1137-ND","A1","1","ARDUINO MKR ZERO W/ HDR ATSAMD21"
"MCP23017-E/SP","Microchip Technology","MCP23017-E/SP-ND","U1,U2,U3,U4","4","IC I/O EXPANDER I2C 16B 28SDIP"
"ED281DT","On Shore Technology Inc.","ED3050-5-ND","SU1, SU2, SU3, SU4","4","CONN IC DIP SOCKET 28POS TIN"
"1120","Adafruit Industries LLC","1528-1173-ND","M2","1","BOARD ACCEL/COMPASS 3AXIS LSM303"
"3013","Adafruit Industries LLC","1528-1598-ND","M5","1","ADAFRUIT DS3231 PRECISION RTC BR"
"TMC2208 SILENTSTEPSTICK","Trinamic Motion Control GmbH","1460-1201-ND","SS1","1","TMC2208 STEPPER DRIVER BOARD"
"1825057-1","TE Connectivity ALCOSWITCH Switches","450-1363-ND","SWI1","1","SWITCH SLIDE DIP SPST 100MA 24V"
"151031SS04000","Wurth Electronics Inc.","732-5005-ND","D1,D2,D3,D4","4","LED RED DIFFUSED 3MM ROUND T/H"
"C320C105K5N5TA91707301","KEMET","399-14394-1-ND","C1,C2","2","CAP CER 1UF 50V X8L RADIAL"
"68786-102LF","Amphenol ICC (FCI)","609-3121-ND","JP1,JP2,JP3,JP4,JP5,JP6","6","CONN SHUNT 2POS .100 LOPRO GOLD"
"476CKE035M","Illinois Capacitor","1572-1473-ND","C3","1","CAP ALUM 47UF 20% 35V RADIAL"
"PPTC202LJBN-RC","Sullins Connector Solutions","S5534-ND","J3,J4","2","CONN HDR 40POS 0.1 TIN PCB R/A"
"SMC-1-40-1-GT","Adam Tech","2057-SMC-1-40-1-GT-ND","Circuit Sockets","2","MACHINE PIN SOCKET 40P 1.00MM PI"
"1825910-6","TE Connectivity ALCOSWITCH Switches","450-1650-ND","SWI2,SWI3","2","SWITCH TACTILE SPST-NO 0.05A 24V"
"RNMF14FTC10K0","Stackpole Electronics Inc","S10KCACT-ND","R1,R2,R5,R6,R9,R10,R11,R12,R13,R14","10","RES 10K OHM 1/4W 1% AXIAL"
"RNMF14FTC330R","Stackpole Electronics Inc","S330CACT-ND","R3,R4,R7,R8","4","RES 330 OHM 1/4W 1% AXIAL"
"RNMF14FTC2K20","Stackpole Electronics Inc","S2.2KCACT-ND","R15,R16","2","RES 2.2K OHM 1/4W 1% AXIAL"
"PJ-002A","CUI Inc.","CP-002A-ND","12V Barrel Jack","1","CONN PWR JACK 2X5.5MM SOLDER"